#FFACB7
#FF88A7
#FF46C5
#D151B7
#D24C75
#CD4275
#FF6464
#EB6464
#D76464
#BE5A5A
#EF904C
#E0904C
#E19B50
#FFB432
#FFC300
#FFD732
#FFD232
#FFE650
#FFF56E
#B2FA5C
#96F56E
#84FB84
#54BD54
#329632
#60BD89
#6EE5A3
#2CE0BC
#32BEBE
#32B2B2
#52E4DC
#32F1FF
#00D7FF
#50D6FF
#50C2FF
#32AAFF
#3296FF
#3296D7
#7878E1
#646496
#B24BE5
#AD19EC
#BE32BE
#B232B2
#F389EF
